global_step,episodic_return,episode,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
10,11.0,1,1738582116,,False,1,faa54_00001,2025-02-03_12-28-36,2.578104019165039,2.578104019165039,21272,DESKTOP-7C8NE51,127.0.0.1,2.578104019165039,1
32,21.0,2,1738582116,,False,2,faa54_00001,2025-02-03_12-28-36,0.003016233444213867,2.581120252609253,21272,DESKTOP-7C8NE51,127.0.0.1,2.581120252609253,2
67,34.0,3,1738582116,,False,3,faa54_00001,2025-02-03_12-28-36,0.006627798080444336,2.5877480506896973,21272,DESKTOP-7C8NE51,127.0.0.1,2.5877480506896973,3
79,11.0,4,1738582116,,False,4,faa54_00001,2025-02-03_12-28-36,0.000997304916381836,2.588745355606079,21272,DESKTOP-7C8NE51,127.0.0.1,2.588745355606079,4
97,17.0,5,1738582116,,False,5,faa54_00001,2025-02-03_12-28-36,0.003880739212036133,2.5926260948181152,21272,DESKTOP-7C8NE51,127.0.0.1,2.5926260948181152,5
157,59.0,6,1738582116,,False,6,faa54_00001,2025-02-03_12-28-36,0.0075836181640625,2.6002097129821777,21272,DESKTOP-7C8NE51,127.0.0.1,2.6002097129821777,6
170,12.0,7,1738582116,,False,7,faa54_00001,2025-02-03_12-28-36,0.0019960403442382812,2.602205753326416,21272,DESKTOP-7C8NE51,127.0.0.1,2.602205753326416,7
182,11.0,8,1738582116,,False,8,faa54_00001,2025-02-03_12-28-36,0.002024412155151367,2.6042301654815674,21272,DESKTOP-7C8NE51,127.0.0.1,2.6042301654815674,8
201,18.0,9,1738582116,,False,9,faa54_00001,2025-02-03_12-28-36,0.0029909610748291016,2.6072211265563965,21272,DESKTOP-7C8NE51,127.0.0.1,2.6072211265563965,9
214,12.0,10,1738582116,,False,10,faa54_00001,2025-02-03_12-28-36,0.0019941329956054688,2.609215259552002,21272,DESKTOP-7C8NE51,127.0.0.1,2.609215259552002,10
234,19.0,11,1738582116,,False,11,faa54_00001,2025-02-03_12-28-36,0.002357006072998047,2.611572265625,21272,DESKTOP-7C8NE51,127.0.0.1,2.611572265625,11
249,14.0,12,1738582116,,False,12,faa54_00001,2025-02-03_12-28-36,0.0029556751251220703,2.614527940750122,21272,DESKTOP-7C8NE51,127.0.0.1,2.614527940750122,12
266,16.0,13,1738582116,,False,13,faa54_00001,2025-02-03_12-28-36,0.002379894256591797,2.616907835006714,21272,DESKTOP-7C8NE51,127.0.0.1,2.616907835006714,13
280,13.0,14,1738582116,,False,14,faa54_00001,2025-02-03_12-28-36,0.002025127410888672,2.6189329624176025,21272,DESKTOP-7C8NE51,127.0.0.1,2.6189329624176025,14
291,10.0,15,1738582116,,False,15,faa54_00001,2025-02-03_12-28-36,0.001981019973754883,2.6209139823913574,21272,DESKTOP-7C8NE51,127.0.0.1,2.6209139823913574,15
309,17.0,16,1738582116,,False,16,faa54_00001,2025-02-03_12-28-36,0.003307819366455078,2.6242218017578125,21272,DESKTOP-7C8NE51,127.0.0.1,2.6242218017578125,16
334,24.0,17,1738582116,,False,17,faa54_00001,2025-02-03_12-28-36,0.002991199493408203,2.6272130012512207,21272,DESKTOP-7C8NE51,127.0.0.1,2.6272130012512207,17
349,14.0,18,1738582116,,False,18,faa54_00001,2025-02-03_12-28-36,0.002213001251220703,2.6294260025024414,21272,DESKTOP-7C8NE51,127.0.0.1,2.6294260025024414,18
367,17.0,19,1738582116,,False,19,faa54_00001,2025-02-03_12-28-36,0.0032215118408203125,2.6326475143432617,21272,DESKTOP-7C8NE51,127.0.0.1,2.6326475143432617,19
396,28.0,20,1738582116,,False,20,faa54_00001,2025-02-03_12-28-36,0.005015850067138672,2.6376633644104004,21272,DESKTOP-7C8NE51,127.0.0.1,2.6376633644104004,20
424,27.0,21,1738582116,,False,21,faa54_00001,2025-02-03_12-28-36,0.004047393798828125,2.6417107582092285,21272,DESKTOP-7C8NE51,127.0.0.1,2.6417107582092285,21
441,16.0,22,1738582116,,False,22,faa54_00001,2025-02-03_12-28-36,0.0009899139404296875,2.642700672149658,21272,DESKTOP-7C8NE51,127.0.0.1,2.642700672149658,22
468,26.0,23,1738582116,,False,23,faa54_00001,2025-02-03_12-28-36,0.004170417785644531,2.6468710899353027,21272,DESKTOP-7C8NE51,127.0.0.1,2.6468710899353027,23
483,14.0,24,1738582116,,False,24,faa54_00001,2025-02-03_12-28-36,0.0019905567169189453,2.6488616466522217,21272,DESKTOP-7C8NE51,127.0.0.1,2.6488616466522217,24
503,19.0,25,1738582116,,False,25,faa54_00001,2025-02-03_12-28-36,0.0038678646087646484,2.6527295112609863,21272,DESKTOP-7C8NE51,127.0.0.1,2.6527295112609863,25
526,22.0,26,1738582116,,False,26,faa54_00001,2025-02-03_12-28-36,0.002993345260620117,2.6557228565216064,21272,DESKTOP-7C8NE51,127.0.0.1,2.6557228565216064,26
556,29.0,27,1738582116,,False,27,faa54_00001,2025-02-03_12-28-36,0.004174947738647461,2.659897804260254,21272,DESKTOP-7C8NE51,127.0.0.1,2.659897804260254,27
583,26.0,28,1738582116,,False,28,faa54_00001,2025-02-03_12-28-36,0.0029916763305664062,2.6628894805908203,21272,DESKTOP-7C8NE51,127.0.0.1,2.6628894805908203,28
610,26.0,29,1738582116,,False,29,faa54_00001,2025-02-03_12-28-36,0.0031201839447021484,2.6660096645355225,21272,DESKTOP-7C8NE51,127.0.0.1,2.6660096645355225,29
622,11.0,30,1738582116,,False,30,faa54_00001,2025-02-03_12-28-36,0.0020627975463867188,2.668072462081909,21272,DESKTOP-7C8NE51,127.0.0.1,2.668072462081909,30
658,35.0,31,1738582116,,False,31,faa54_00001,2025-02-03_12-28-36,0.005624532699584961,2.673696994781494,21272,DESKTOP-7C8NE51,127.0.0.1,2.673696994781494,31
711,52.0,32,1738582116,,False,32,faa54_00001,2025-02-03_12-28-36,0.010407686233520508,2.6841046810150146,21272,DESKTOP-7C8NE51,127.0.0.1,2.6841046810150146,32
725,13.0,33,1738582116,,False,33,faa54_00001,2025-02-03_12-28-36,0.003155231475830078,2.6872599124908447,21272,DESKTOP-7C8NE51,127.0.0.1,2.6872599124908447,33
738,12.0,34,1738582116,,False,34,faa54_00001,2025-02-03_12-28-36,0.0034105777740478516,2.6906704902648926,21272,DESKTOP-7C8NE51,127.0.0.1,2.6906704902648926,34
768,29.0,35,1738582116,,False,35,faa54_00001,2025-02-03_12-28-36,0.0068819522857666016,2.697552442550659,21272,DESKTOP-7C8NE51,127.0.0.1,2.697552442550659,35
785,16.0,36,1738582116,,False,36,faa54_00001,2025-02-03_12-28-36,0.001995086669921875,2.699547529220581,21272,DESKTOP-7C8NE51,127.0.0.1,2.699547529220581,36
798,12.0,37,1738582116,,False,37,faa54_00001,2025-02-03_12-28-36,0.0020170211791992188,2.7015645503997803,21272,DESKTOP-7C8NE51,127.0.0.1,2.7015645503997803,37
809,10.0,38,1738582116,,False,38,faa54_00001,2025-02-03_12-28-36,0.001995086669921875,2.703559637069702,21272,DESKTOP-7C8NE51,127.0.0.1,2.703559637069702,38
820,10.0,39,1738582116,,False,39,faa54_00001,2025-02-03_12-28-36,0.0020208358764648438,2.705580472946167,21272,DESKTOP-7C8NE51,127.0.0.1,2.705580472946167,39
851,30.0,40,1738582116,,False,40,faa54_00001,2025-02-03_12-28-36,0.003504514694213867,2.709084987640381,21272,DESKTOP-7C8NE51,127.0.0.1,2.709084987640381,40
867,15.0,41,1738582116,,False,41,faa54_00001,2025-02-03_12-28-36,0.0009968280792236328,2.7100818157196045,21272,DESKTOP-7C8NE51,127.0.0.1,2.7100818157196045,41
895,27.0,42,1738582116,,False,42,faa54_00001,2025-02-03_12-28-36,0.003690004348754883,2.7137718200683594,21272,DESKTOP-7C8NE51,127.0.0.1,2.7137718200683594,42
936,40.0,43,1738582116,,False,43,faa54_00001,2025-02-03_12-28-36,0.006981611251831055,2.7207534313201904,21272,DESKTOP-7C8NE51,127.0.0.1,2.7207534313201904,43
953,16.0,44,1738582116,,False,44,faa54_00001,2025-02-03_12-28-36,0.002991199493408203,2.7237446308135986,21272,DESKTOP-7C8NE51,127.0.0.1,2.7237446308135986,44
966,12.0,45,1738582116,,False,45,faa54_00001,2025-02-03_12-28-36,0.0009970664978027344,2.7247416973114014,21272,DESKTOP-7C8NE51,127.0.0.1,2.7247416973114014,45
994,27.0,46,1738582116,,False,46,faa54_00001,2025-02-03_12-28-36,0.004122018814086914,2.7288637161254883,21272,DESKTOP-7C8NE51,127.0.0.1,2.7288637161254883,46
1001,,,1738582116,,False,47,faa54_00001,2025-02-03_12-28-36,0.00849461555480957,2.737358331680298,21272,DESKTOP-7C8NE51,127.0.0.1,2.737358331680298,47
1002,,,1738582116,,False,48,faa54_00001,2025-02-03_12-28-36,0.004663944244384766,2.7420222759246826,21272,DESKTOP-7C8NE51,127.0.0.1,2.7420222759246826,48
1003,,,1738582117,,False,49,faa54_00001,2025-02-03_12-28-37,0.0035295486450195312,2.745551824569702,21272,DESKTOP-7C8NE51,127.0.0.1,2.745551824569702,49
